decision_lane,program,source_repo,item_type,item_number,title,state,risk_level,delay_risk_score,age_days,time_since_update_days,comment_count,labels,item_url,recommended_action
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141085,sig-windows-gce Security Context test are failing,open,High,99.7,18.19,17.18,2,sig/windows | kind/failing-test | needs-triage,https://github.com/kubernetes/kubernetes/issues/141085,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141144,problematic dependency: cyphar.com/go-pathrs,open,High,99.5,15.46,15.45,3,sig/architecture | area/code-organization | needs-triage | kind/dependency,https://github.com/kubernetes/kubernetes/issues/141144,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141149,DV: comment erroneous docs for k8s-ip format,open,High,99.4,15.01,4.02,4,kind/bug | sig/api-machinery | size/S | release-note-none | approved | cncf-cla: yes | area/code-generation | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141149,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141090,kubectl: propagate printer error in rollout history all revisions output,open,High,99.3,17.89,17.89,5,kind/bug | area/kubectl | release-note | size/M | sig/cli | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141090,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Program Watchlist,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141136,[Flaking Test] [sig-network] LoadBalancers ExternalTrafficPolicy: Local [Feature:LoadBalancer] should only target nodes with endpoints [Slow],open,High,99.3,15.74,5.42,1,sig/network | kind/flake | triage/unresolved,https://github.com/kubernetes/kubernetes/issues/141136,"Move to the PMO watchlist, validate scope, and set the next decision date."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141105,kubeletplugin: preserve Unix socket cleanup errors,closed,High,99.3,17.0,1.3,6,kind/bug | lgtm | sig/node | release-note | size/M | approved | cncf-cla: yes | ok-to-test | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141105,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Runtime Platform Stabilization,nodejs/node,Pull Request,65022,net: create socket recv/send buffer size getters and setters,closed,High,99.2,14.35,0.01,1,c++ | lib / src | needs-ci,https://github.com/nodejs/node/pull/65022,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141078,cache: handle pod UID mismatch in UpdatePod,open,High,99.1,18.4,18.37,5,kind/bug | sig/scheduling | size/L | release-note-none | cncf-cla: yes | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141078,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141095,`StatefulSet` update stuck at the previous error,open,High,99.1,17.37,17.36,2,kind/bug | sig/apps | needs-triage,https://github.com/kubernetes/kubernetes/issues/141095,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
Dependency / Blocker,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141101,e2e/storage: drop Slow label from HostPathType tests,open,High,99.1,17.29,17.29,4,area/test | kind/cleanup | sig/storage | size/S | release-note-none | cncf-cla: yes | sig/testing | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141101,"Escalate blocker risk, assign a decision lane, and brief leadership this week."
