dependency_signal,program,source_repo,item_type,item_number,title,risk_level,delay_risk_score,time_since_update_days,labels,item_url
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141085,sig-windows-gce Security Context test are failing,High,99.7,17.18,sig/windows | kind/failing-test | needs-triage,https://github.com/kubernetes/kubernetes/issues/141085
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141144,problematic dependency: cyphar.com/go-pathrs,High,99.5,15.45,sig/architecture | area/code-organization | needs-triage | kind/dependency,https://github.com/kubernetes/kubernetes/issues/141144
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141149,DV: comment erroneous docs for k8s-ip format,High,99.4,4.02,kind/bug | sig/api-machinery | size/S | release-note-none | approved | cncf-cla: yes | area/code-generation | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141149
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141090,kubectl: propagate printer error in rollout history all revisions output,High,99.3,17.89,kind/bug | area/kubectl | release-note | size/M | sig/cli | cncf-cla: yes | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141090
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141105,kubeletplugin: preserve Unix socket cleanup errors,High,99.3,1.3,kind/bug | lgtm | sig/node | release-note | size/M | approved | cncf-cla: yes | ok-to-test | needs-priority | needs-triage | wg/device-management,https://github.com/kubernetes/kubernetes/pull/141105
Needs Triage Or Clarification,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141136,[Flaking Test] [sig-network] LoadBalancers ExternalTrafficPolicy: Local [Feature:LoadBalancer] should only target nodes with endpoints [Slow],High,99.3,5.42,sig/network | kind/flake | triage/unresolved,https://github.com/kubernetes/kubernetes/issues/141136
Blocker Or External Dependency,Runtime Platform Stabilization,nodejs/node,Pull Request,65022,net: create socket recv/send buffer size getters and setters,High,99.2,0.01,c++ | lib / src | needs-ci,https://github.com/nodejs/node/pull/65022
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141101,e2e/storage: drop Slow label from HostPathType tests,High,99.1,17.29,area/test | kind/cleanup | sig/storage | size/S | release-note-none | cncf-cla: yes | sig/testing | needs-ok-to-test | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141101
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Pull Request,141078,cache: handle pod UID mismatch in UpdatePod,High,99.1,18.37,kind/bug | sig/scheduling | size/L | release-note-none | cncf-cla: yes | needs-priority | needs-triage,https://github.com/kubernetes/kubernetes/pull/141078
Blocker Or External Dependency,Cloud Native Platform Reliability,kubernetes/kubernetes,Issue,141095,`StatefulSet` update stuck at the previous error,High,99.1,17.36,kind/bug | sig/apps | needs-triage,https://github.com/kubernetes/kubernetes/issues/141095
